dot,d_nm,AR,height_nm,E_trans_77K_eV,lambda_77K_um,E_trans_300K_eV,lambda_300K_um,redshift_meV,binding_77K_meV,loc_77K,verdict_77K
In0.50Ga0.50Sb,2.5,1.0,2.5,0.2562,4.84,0.2024,6.13,53.7,151.2,0.555,ok
In0.50Ga0.50Sb,4.0,1.0,4.0,0.1177,10.53,0.0641,19.35,53.6,289.7,0.749,ok
In0.50Ga0.50Sb,6.0,1.0,6.0,0.0273,45.45,-0.0262,,53.5,380.1,0.865,ok
In0.50Ga0.50Sb,8.0,1.0,8.0,-0.03,,-0.0833,,53.3,437.4,0.955,ok
In0.50Ga0.50Sb,10.0,1.0,10.0,-0.0622,,-0.1155,,53.3,469.6,0.97,ok
In0.50Ga0.50Sb,15.0,1.0,15.0,-0.0998,,-0.1531,,53.3,507.2,0.986,ok
In0.50Ga0.50Sb,20.0,1.0,20.0,-0.1209,,-0.1743,,53.4,528.2,0.99,indicative (vol -0.10)
In0.50Ga0.50Sb,2.5,2.0,1.25,0.3282,3.78,0.2743,4.52,53.9,79.2,0.416,ok
In0.50Ga0.50Sb,4.0,2.0,2.0,0.1636,7.58,0.1096,11.31,53.9,243.8,0.688,ok
In0.50Ga0.50Sb,6.0,2.0,3.0,0.0465,26.65,-0.0074,,53.9,360.8,0.82,ok
In0.50Ga0.50Sb,8.0,2.0,4.0,-0.0164,,-0.0703,,53.8,423.8,0.882,ok
In0.50Ga0.50Sb,10.0,2.0,5.0,-0.0549,,-0.1087,,53.8,462.3,0.917,ok
In0.50Ga0.50Sb,15.0,2.0,7.5,-0.1043,,-0.1581,,53.8,511.7,0.959,ok
In0.50Ga0.50Sb,20.0,2.0,10.0,-0.1277,,-0.1815,,53.7,535.1,0.977,ok
In0.50Ga0.50Sb,2.5,4.0,0.625,0.3964,3.13,0.3428,3.62,53.7,11.0,0.087,"indicative (4.2 cells, lh tail 15.2 nm > 4 nm crop, loc 9% vs baseline 0.2% (enh 0.08))"
In0.50Ga0.50Sb,4.0,4.0,1.0,0.2788,4.45,0.2248,5.52,54.0,128.6,0.492,ok
In0.50Ga0.50Sb,6.0,4.0,1.5,0.1313,9.44,0.0772,16.07,54.1,276.1,0.717,ok
In0.50Ga0.50Sb,8.0,4.0,2.0,0.0409,30.29,-0.0132,,54.2,366.4,0.819,ok
In0.50Ga0.50Sb,10.0,4.0,2.5,-0.018,,-0.0722,,54.2,425.3,0.876,ok
In0.50Ga0.50Sb,15.0,4.0,3.75,-0.0987,,-0.1529,,54.2,506.1,0.941,ok
In0.50Ga0.50Sb,20.0,4.0,5.0,-0.1366,,-0.1908,,54.2,544.0,0.967,ok
InSb,2.5,1.0,2.5,0.2349,5.28,0.1812,6.84,53.7,172.5,0.548,ok
InSb,4.0,1.0,4.0,0.0973,12.75,0.0436,28.43,53.6,310.1,0.727,ok
InSb,6.0,1.0,6.0,0.0116,106.48,-0.042,,53.6,395.7,0.834,ok
InSb,8.0,1.0,8.0,-0.0379,,-0.0914,,53.5,445.2,0.949,ok
InSb,10.0,1.0,10.0,-0.0711,,-0.1246,,53.5,478.4,0.964,ok
InSb,15.0,1.0,15.0,-0.1122,,-0.1657,,53.5,519.5,0.98,ok
InSb,20.0,1.0,20.0,-0.1464,,-0.2001,,53.6,553.8,0.98,indicative (vol -0.10)
InSb,2.5,2.0,1.25,0.3007,4.12,0.2469,5.02,53.7,106.7,0.442,ok
InSb,4.0,2.0,2.0,0.1227,10.11,0.0689,17.99,53.8,284.7,0.692,ok
InSb,6.0,2.0,3.0,0.0015,825.78,-0.0523,,53.8,405.9,0.813,ok
InSb,8.0,2.0,4.0,-0.0619,,-0.1156,,53.8,469.3,0.871,ok
InSb,10.0,2.0,5.0,-0.1001,,-0.1539,,53.7,507.5,0.903,ok
InSb,15.0,2.0,7.5,-0.1473,,-0.2011,,53.7,554.7,0.946,ok
InSb,20.0,2.0,10.0,-0.1694,,-0.2231,,53.7,576.7,0.965,ok
InSb,2.5,4.0,0.625,0.3858,3.21,0.3321,3.73,53.6,21.6,0.158,"indicative (4.2 cells, lh tail 10.8 nm > 4 nm crop, loc 16% vs baseline 0.2% (enh 0.16))"
InSb,4.0,4.0,1.0,0.2347,5.28,0.1809,6.85,53.8,172.6,0.528,ok
InSb,6.0,4.0,1.5,0.0693,17.89,0.0154,80.25,53.9,338.1,0.737,ok
InSb,8.0,4.0,2.0,-0.0291,,-0.083,,53.9,436.5,0.83,ok
InSb,10.0,4.0,2.5,-0.0918,,-0.1458,,53.9,499.2,0.882,ok
InSb,15.0,4.0,3.75,-0.1749,,-0.2288,,53.9,582.3,0.94,ok
InSb,20.0,4.0,5.0,-0.2114,,-0.2653,,53.9,618.8,0.964,ok
